# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog									Full Changelog
buildtoolbar_popup_mat_gratefloor				Give our prison floors a hi-tech look.
buildtoolbar_popup_mat_newcargofloor			Give our prison floors a bespoke look.
buildtoolbar_popup_mat_newironfloor				Give our prison a bespoke look.
buildtoolbar_popup_mat_newcheckeredfloor		These would probably look good in your Kitchens or Canteens.
buildtoolbar_popup_mat_snow						It's like water, only colder and prettier.
buildtoolbar_popup_obj_snowyconifertree			Would look most appropriate on snowy land.
buildtoolbar_popup_obj_palmtree					Normally sprout on dry land, but now you can decide to grow them where ever you wish.
buildtoolbar_popup_obj_bush						Gives outdoor areas a bit of decor.
buildtoolbar_popup_obj_streetlamp				To light up roads and pathways.
buildtoolbar_popup_obj_floodlight				A tall outdoor light that can cover large areas such as a Yards or Forestries.
buildtoolbar_popup_obj_bleachers				Classic prison-yard bleachers for groups of inmates to sit and contemplate their next move.
buildtoolbar_popup_obj_smallbench				For sitting on.
buildtoolbar_popup_obj_smalltable				For eating at.
buildtoolbar_popup_obj_showerpillar				To position in the middle of a shower room, and then attach a Shower Head to each side.
buildtoolbar_popup_obj_doorMat					A cheap rubber door mat that might look good in front of doorways.
buildtoolbar_popup_obj_guardPavilion			Place in Yards and open areas for Guards and Armed Guards to watch over your prisoners.\n	Assign guards via the Deployment menu.\n -Increases the level of Suppression in that area.\n -Guards are sheltered from the weather.
buildtoolbar_popup_obj_guardPavilionCorner		Place in the corners of Yards and open areas for Guards and Armed Guards to watch over your prisoners.\n	Assign guards via the Deployment menu.\n -Increases the level of Suppression in that area.\n -Guards are sheltered from the weather.
buildtoolbar_popup_obj_officeChair				A chair for staff workers to sit centrally at an Office Desk.

buildtoolbar_popup_obj_visitorDoor				A door that allows visitors to the prison to pass through, without needing a guard to open the door. Guards and staff may also use the door, but not prisoners.
buildtoolbar_popup_obj_ironingBoardShort		A shorter Ironing Board.
buildtoolbar_popup_obj_fencegatestaff			A Gate that looks great with Fences, and functions in the same way as a door.
buildtoolbar_popup_obj_fencegatestandard		A Gate that looks great with Fences, and functions in the same way as a door.
buildtoolbar_popup_obj_fencegatevisitor			A Gate that looks great with Fences, and functions in the same way as a door.
buildtoolbar_popup_obj_walllight				A bunker style light to place on walls.
buildtoolbar_popup_obj_securedoor				A door designed for Solitary Cells featuring a food flap. Guards delivering food may pass the tray through the door, without needing to enter the cell.


interfacedeployment_guards                      Assign Guards
buildtoolbar_deployment_Guards			Assign Guards to the sectors within your prison.	
interfacedeployment_Dogs			Assign Dog Handlers
buildtoolbar_deployment_Dogs			Assign Dog Handlers to the sectors within your prison.
interfacedeployment_ArmedGuards			Assign Armed Guards
buildtoolbar_deployment_ArmedGuards		Assign Armed Guards to the sectors within your prison.
interfacedeployment_patrols                     Assign Guards
buildtoolbar_deployment_Patrols			Assign Guards to the Patrol Routes within your prison.
interfacedeployment_dogpatrols                  Assign Dog Handlers
buildtoolbar_deployment_DogPatrols		Assign Dog Handlers to the Patrol Routes within your prison.
interfacedeployment_armedpatrols                Assign Armed Guards
buildtoolbar_deployment_ArmedPatrols		Assign Armed Guards to the Patrol Routes within your prison.

buildtoolbar_popup_help_Guards_1        The Guards tool lets you station Guards in zones. A stationed guard will move around their assigned zone randomly, and will perform any Guard tasks in that area, such as opening doors.\n\n
buildtoolbar_popup_help_Guards_2        ~Left Click to increase the number of Dog Handlers deployed to a zone. Right Click to remove a Guard.\n\n
buildtoolbar_popup_help_Guards_3        ^Tips
buildtoolbar_popup_help_Guards_4        - If you have Micromanagement unlocked, you will have access to the Deployment Scheduler. This lets you create a timetable of when Guards are assigned to certain areas. For example, if you only wanted Guards deployed in the Canteen during the Eat regime, you could click each block of the Scheduler that lines up with your Eat regime, then move the time slider into that block and click your Canteen to assign Guards.
buildtoolbar_popup_help_Guards_5        - You have up to 7 different time blocks available for Scheduling, plus the default Always-active mode, allowing you to create complex deployment routines that match the needs of your prison. 
buildtoolbar_popup_help_Guards_6        - If you don't manually select a time block when assigning Dog Handlers, the Scheduler will use the current time; make sure you have the correct time selected when changing your Deployment!

buildtoolbar_popup_help_Dogs_1        The Dog Handlers tool lets you station Dog Handlers in zones. A stationed guard will move around their assigned zone randomly, and will perform any Guard tasks in that area, such as opening doors.\n\n
buildtoolbar_popup_help_Dogs_2        ~Left Click to increase the number of Dog Handlers deployed to a zone. Right Click to remove a Dog Handler.\n\n
buildtoolbar_popup_help_Dogs_3        ^Tips
buildtoolbar_popup_help_Dogs_4        - If you have Micromanagement unlocked, you will have access to the Deployment Scheduler. This lets you create a timetable of when Dog Handlers are assigned to certain areas. For example, if you only wanted Dog Handlers deployed in the Canteen during the Eat regime, you could click each block of the Scheduler that lines up with your Eat regime, then move the time slider into that block and click your Canteen to assign Dog Handlers.
buildtoolbar_popup_help_Dogs_5        - You have up to 7 different time blocks available for Scheduling, plus the default Always-active mode, allowing you to create complex deployment routines that match the needs of your prison. 
buildtoolbar_popup_help_Dogs_6        - If you don't manually select a time block when assigning Dog Handlers, the Scheduler will use the current time; make sure you have the correct time selected when changing your Deployment!

buildtoolbar_popup_help_ArmedGuards_1        The Armed Guards tool lets you station Armed Guards in zones. A stationed guard will move around their assigned zone randomly, and will perform any Guard tasks in that area, such as opening doors.\n\n
buildtoolbar_popup_help_ArmedGuards_2        ~Left Click to increase the number of Guards deployed to a zone. Right Click to remove a Guard.\n\n
buildtoolbar_popup_help_ArmedGuards_3        ^Tips
buildtoolbar_popup_help_ArmedGuards_4        - If you have Micromanagement unlocked, you will have access to the Deployment Scheduler. This lets you create a timetable of when armed guards are assigned to certain areas. For example, if you only wanted Armed Guards deployed in the Canteen during the Eat regime, you could click each block of the Scheduler that lines up with your Eat regime, then move the time slider into that block and click your Canteen to assign Armed Guards.
buildtoolbar_popup_help_ArmedGuards_5        - You have up to 7 different time blocks available for Scheduling, plus the default Always-active mode, allowing you to create complex deployment routines that match the needs of your prison. 
buildtoolbar_popup_help_ArmedGuards_6        - If you don't manually select a time block when assigning Armed Guards, the Scheduler will use the current time; make sure you have the correct time selected when changing your Deployment!

buildtoolbar_popup_help_Orderly_1		Orderlies are specially-trained to cater specifically to Criminally Insane inmates. \n
buildtoolbar_popup_help_Orderly_2		They possess traits that are similar to guards and doctors, but they do not project a suppression effect upon inmates (like regular guards). \n\n
buildtoolbar_popup_help_Orderly_3		Hire Orderlies to attend to your Criminally Insane inmates. Orderlies will:
buildtoolbar_popup_help_Orderly_4		-Assist with the intake of Criminally Insane inmates.
buildtoolbar_popup_help_Orderly_5		-Escort Criminally Insane inmates to Psychiatric Consultation sessions (Programs).
buildtoolbar_popup_help_Orderly_6		-Heal wounded Criminally Insane inmates.
buildtoolbar_popup_help_Orderly_7		-Sedate Criminally Insane inmates that turn violent.
buildtoolbar_popup_help_Orderly_8		-Fit Psychopathic Criminally Insane inmates with straitjackets on a night.

buildtoolbar_popup_help_Psychiatrist_1		Psychiatrists provide Criminally Insane inmates with regular one-to-one consultation.\n\n
buildtoolbar_popup_help_Psychiatrist_2		Each one requires a special Psychiatrist's Office.
buildtoolbar_popup_help_Psychiatrist_3		Psychiatric Consultation sessions (Programs) can be set up, in order for Psychiatrists to treat Criminally Insane inmates.
buildtoolbar_popup_help_Psychiatrist_4		The Psychiatrist's Offices can also be upgraded with new items, to improve the Psychiatrist's treatment.

interfacedeployment_PrioritizeArea			Prioritize Area (*X)
buildtoolbar_deployment_PrioritizeGuard		Use this option to prioritize assigned guards to cover specific sectors around your prison. If you are short staffed, guards will try to cover your prioritized areas first. Two priorities are available; "High" (>>) and "Very High" (>>>).

interfacedeployment_BluePatrol				Blue Patrol
buildtoolbar_deployment_BluePatrol			Coloured patrol routes allow you to overlap and assign separate guards to them. Click and drag to create a Blue patrol route. Right click and drag to clear a Blue patrol route. Use the Assign Guard buttons to add guards to a patrol route.

interfacedeployment_MagentaPatrol			Magenta Patrol
buildtoolbar_deployment_MagentaPatrol			Coloured patrol routes allow you to overlap and assign separate guards to them. Click and drag to create a Magenta patrol route. Right click and drag to clear a Magenta patrol route. Use the Assign Guard buttons to add guards to a patrol route.

interfacedeployment_PrioritizePatrol			Prioritize Patrol
buildtoolbar_deployment_PrioritizePatrol		Use this option to prioritize assigned guards to cover specific patrols around your prison. If you are short staffed, guards will try to cover your prioritized areas first. Two priorities are available; "High" (>>) and "Very High" (>>>).

buildtoolbar_popup_filter_title                 Filter List
buiildtoolbar_popup_filter_toggle               Click the button to toggle
buildtoolbar_popup_filter_default               Default
buildtoolbar_popup_filter_az                    A-Z
buildtoolbar_popup_filter_owned                 Owned
buildtoolbar_popup_filter_costhighlow           Cost (High-Low)
buildtoolbar_popup_filter_costlowhigh           Cost (Low-High)
buildtoolbar_popup_filter_indooroutdoor         Indoor-Outdoor
buildtoolbar_popup_filter_outdoorindoor         Outdoor-Indoor
buildtoolbar_popup_filter_quantity              Quantity Owned
buildtoolbar_popup_filter_byroom                By Room

# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item							DOUBLE-CLICK: Move Object

double_click_add_door							Double Left-click to add doors.

codex_option_bureaucracyresearched				Bureaucracy Researched
codex_tooltip_bureaucracyresearched				Start a new game with your entire Bureaucracy tree fully researched.

codex_option_jungle						Jungle Plot
codex_tooltip_jungle						Generate a starting plot of land that resembles a dense jungle.

codex_option_snowy						Snowbound Plot
codex_tooltip_snowy						Generate a starting plot of land that's covered in snow.

# =============================================================================
# Misc
# =============================================================================
action_WashSmall								Washing


plant_tree_location								Plant Tree in *X

report_intake_cat_SuperMax							SuperMax

interface_undo							Undo

# =============================================================================
# Codex
# =============================================================================

codex_save_failed                               Failed to save prison.
codex_changelog_next                            Next >
codex_changelog_prev                            < Previous
codex_credits                                   Credits

codex_options_screenshotmode					Ekran Görüntüsü Modu
codex_tooltip_screenshotmode					When in Screenshot Mode, hold the [*K] KEY and press [*E], to turn ALL UI and HUD off/on
codex_sso_content_message						You have successfully signed up for a Paradox Account.\n\nAs a thank you, new Guard Pavilion towers are now unlocked in the game! Find them in the Objects menu.
codex_options_borderless_windowed               Kenarlıksız
codex_options_monitor                           Ekran

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall							Wall (Art Deco)
material_blueWall								Wall Classy (Blue Stripes)
material_burgundyWall							Wall Classy (Burgundy)
material_greenWall								Wall Classy (Green)
material_orientalWall							Wall (Oriental)
material_cushionedwall							Wall (Cushioned)

material_sandstone								Sandstone 
material_limestonefloor							Limestone 
material_blueCarpet								Carpet (Blue)
material_redCarpet								Carpet (Red)
material_brownCarpet							Carpet (Brown)
material_paddedfloor							Padded
material_grassstones							Grass n Stones
material_grasscornerfloor						Grass Corner
material_grasscornerfloor1						Grass Corner
material_grasscornerfloor2						Grass Corner
material_grasscornerfloor3						Grass Corner
material_lunarfloor								Lunar


# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree								Tree (Spooky)
object_cactustree								Tree (Cactus)
object_sakuratree								Tree (Sakura)
object_plantcactus								Plant (Cactus)
object_tyrestack								Tyre Stack
object_lamp										Light (Lamp)
object_bathroomSink								Bathroom Sink
object_bathroomHandDryer						Hand Dryer
object_chestOfDrawers							Chest of Drawers
object_woodenStool								Wooden Stool
object_woodenTable								Wooden Table			
object_bucket									Bucket
object_shortbookcase							Bookcase (Short)
object_outdoorTable								Outdoor Table
object_mooseHead								Moose Head
object_toiletSign								Sign (Toilets)
object_rightArrowSign							Sign (Arrow Right)
object_leftArrowSign							Sign (Arrow Left)
object_infirmarySign							Sign (Infirmary)
object_canteenSign								Sign (Canteen)
object_showerSign								Sign (Showers)
object_armourySign								Sign (Armoury)
object_jaildoorred								Jail Door (Red)
object_jaildoorgrey								Jail Door (Grey)
object_jaildoororange							Jail Door (Orange)
object_jaildoorYellow							Jail Door (Yellow)
object_jaildoorlargered							Large Jail Door (Red)
object_jaildoorlargegrey						Large Jail Door (Grey)
object_jaildoorlargeorange						Large Jail Door (Orange)
object_jaildoorlargeyellow						Large Jail Door (Yellow)
object_coatstand								Coat Stand
object_dogbowl									Dog Bowl
object_footbridge                               Footbridge
object_footbridgesteel                          Steel Footbridge
object_footbridgeb                              Footbridge B
object_footbridgesteelb                         Steel Footbridge B
object_windowclassy								Window Classy
object_windowclassyLarge						Window Classy (Large)
object_gravestone								Gravestone
object_psychiatrist								Psychiatrist
object_orderly									Orderly
object_rorschachTest							Rorschach Test
object_anatomyModel								Anatomy Model
object_flipboard								Flip Board
object_medicineCabinetPsych						Medicine Cabinet
object_leatherchair								Leather Chair
object_leatherSofa								Leather Sofa
object_parkbench								Bench (Park)
object_fencegateguard							Fence Gate (Guard's)
object_oaktable									Table (Oak)
object_oakbench									Bench (Oak)

object_classic									Classic
object_dalmation								Dalmatian
object_husky									Husky
object_companion								Companion
object_cat										Cat
object_direwoof									Direwoof

equipment_fountainPen							Fountain Pen
equipment_goldPocketWatch						Gold Pocket Watch
equipment_sedativeShot							Sedative Shot (Syringe)
equipment_sedativesyringe						Sedative (Syringe)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall				Build Art Deco Walls to create a 1920's architectural look to the prison.
buildtoolbar_popup_mat_blueWall					Build classy walls on top of foundations, to create new staff areas or rooms.
buildtoolbar_popup_mat_burgundywall				Build classy walls on top of foundations, to create new staff areas or rooms.
buildtoolbar_popup_mat_greenwall				Build classy walls on top of foundations, to create new staff areas or rooms.
buildtoolbar_popup_mat_orientalwall				Build oriental walls to create areas in the prison with an ancient Japanese feel.
buildtoolbar_popup_mat_cushionedwall			Build wall sections on top of foundations, to create new areas or rooms that have a wealthy, leather look to them.
buildtoolbar_popup_mat_sandstone				Lay sandstone slabs down on outdoor areas.
buildtoolbar_popup_mat_limestonefloor			The floor is the colour of faded limes.
buildtoolbar_popup_mat_blueCarpet				Lay comfy carpet down. Perfect for staff areas.
buildtoolbar_popup_mat_redCarpet				Lay comfy carpet down. Perfect for staff areas.
buildtoolbar_popup_mat_brownCarpet				Lay comfy carpet down. Perfect for staff areas.
buildtoolbar_popup_mat_paddedfloor				Matches the padded walls to create a complete padded cell for Criminally Insane inmates.
buildtoolbar_popup_mat_grassstones				A grassy area with flag stones.
buildtoolbar_popup_mat_grasscornerfloor			A grass corner with dirt. Useful for angled pathways.
buildtoolbar_popup_mat_grasscornerfloor1		A grass corner with dirt. Useful for angled pathways.
buildtoolbar_popup_mat_grasscornerfloor2		A grass corner with dirt. Useful for angled pathways.
buildtoolbar_popup_mat_grasscornerfloor3		A grass corner with dirt. Useful for angled pathways.
buildtoolbar_popup_mat_lunarfloor				A hardened rocky surface with an interstellar look.
buildtoolbar_popup_mat_WoodenDockFloor			A solid timber floor, perfect for dock yard.
buildtoolbar_popup_obj_spookytree				An eerie old tree.
buildtoolbar_popup_obj_cactustree				Would look most appropriate on dry land.
buildtoolbar_popup_obj_sakuratree				A beautiful cherry tree with pink flower blossom.
buildtoolbar_popup_obj_plant					A pleasant house plant.
buildtoolbar_popup_obj_plantcactus				An indoor potted cactus.
buildtoolbar_popup_obj_tyrestack				Acts as a small wall which prisoners and staff will walk around.
buildtoolbar_popup_obj_lamp						A standing ornate lamp, perfect for offices and staff areas.
buildtoolbar_popup_obj_bathroomSink				No hygienic bathroom is complete without one
buildtoolbar_popup_obj_bathroomHandDryer		Goes perfect with a Bathroom Sink
buildtoolbar_popup_obj_chestOfDrawers			A wooden chest of drawers.
buildtoolbar_popup_obj_woodenStool				Would go great with a Wooden Table.
buildtoolbar_popup_obj_woodenTable				Would go well with a Wooden Stool	
buildtoolbar_popup_obj_bucket					Just a bucket
buildtoolbar_popup_obj_shortbookcase			A shorter shelf for books.
buildtoolbar_popup_obj_outdoorTable				For prisoners to sit and eat at, outdoors.
buildtoolbar_popup_obj_mooseHead				A beautiful, hand finished moose head on a plaque.
buildtoolbar_popup_obj_toiletSign				A wall sign with a Toilets symbol upon it.
buildtoolbar_popup_obj_rightArrowSign			A wall sign with an arrow pointing right.
buildtoolbar_popup_obj_leftArrowSign			A wall sign with an arrow pointing left.
buildtoolbar_popup_obj_infirmarySign			A wall sign with an Infirmary symbol upon it.
buildtoolbar_popup_obj_canteenSign				A wall sign with a Canteen symbol upon it.
buildtoolbar_popup_obj_showerSign				A wall sign with a Shower symbol upon it.
buildtoolbar_popup_obj_armourySign				A wall sign with an Armoury symbol upon it.
buildtoolbar_popup_obj_jaildoorred				A coloured jail door to help label your Max Security cell blocks.
buildtoolbar_popup_obj_jaildoorgrey				A coloured jail door to help label your Low Security cell blocks.
buildtoolbar_popup_obj_jaildoororange			A coloured jail door to help label your Medium Security cell blocks.
buildtoolbar_popup_obj_jaildooryellow			A coloured jail door to help label your Protective Custody cell blocks.
buildtoolbar_popup_obj_jaildoorlargered			A large coloured jail door to help label your Max Security cell blocks.
buildtoolbar_popup_obj_jaildoorlargegrey		A large coloured jail door to help label your Low Security cell blocks.
buildtoolbar_popup_obj_jaildoorlargeorange		A large coloured jail door to help label your Medium Security cell blocks.
buildtoolbar_popup_obj_jaildoorlargeYellow		A large coloured jail door to help label your Protective Custody cell blocks.
buildtoolbar_popup_obj_coatstand				A resting place for staff coats and hats.
buildtoolbar_popup_obj_dogbowl					Holds water and food for tired guard dogs.\nIncreases a dog's stamina by a small amount.
buildtoolbar_popup_obj_secretdoor				A hidden door disguised as a bookcase which slides open to let staff through.
buildtoolbar_popup_obj_parkbench				An outdoor park bench.
buildtoolbar_popup_obj_fencegateguard			A gate that looks great with Fences, that only guards can open.
buildtoolbar_popup_obj_oaktable					For eating at.
buildtoolbar_popup_obj_oakbench					For sitting on. Goes great with the Oak Table.

buildtoolbar_popup_obj_classic					The original Guard Dog, old but experienced.
buildtoolbar_popup_obj_dalmation				Originally lived on a farm, but now works in escape prevention.
buildtoolbar_popup_obj_husky					A deadly trap for an escapee moving through the snow.
buildtoolbar_popup_obj_companion				A guard's best friend
buildtoolbar_popup_obj_cat						Not everyone is a dog person.
buildtoolbar_popup_obj_direwoof					Who would even try to escape?

buildtoolbar_popup_filter_mostused				Most Used
buildtoolbar_caters_safety						Caters to the Safety need.

interfacedeployment_orderly						Assign Orderlies
buildtoolbar_deployment_orderly					Assign Orderly to the sectors of your prison.

interfacedeployment_orderlypatrols				Assign Orderlies
buildtoolbar_deployment_orderlypatrols			Assign Orderlies to the Patrol Routes within your prison.

room_PaddedCell                                Padded Cell
room_PaddedHoldingCell                         Padded Holding Cell
room_PsychiatristOffice							Psychiatrist's Office

interfaceplanning_BuildPlan			Build Plans
interfaceplanning_ClearPlan			Clear Plans
interfaceplanning_Door				Doors



buildplan_title					Wall Type Selection			
buildplan_message				Are you ready to build your plan?\n	This action can not be undone.\n\n	All planned walls will be constructed with the same wall type.\n	The selection of wall type can be changed below.
clearplan_title					Clear Plans
clearplan_message				Are you sure that you want to clear all drawn plans?\n \n	This action can not be undone.

d11_custom_planning 				Custom Planning

buildtoolbar_popup_planning			Plan out your prison without the fear of workers actually doing anything, until you’re ready. The Planning Menu allows you to choose to Build all planned Structures and Doors, Erase sections of your plans, or Clear the entire plan and start over.

buildtoolbar_popup_help_planningDoor_1		The selected Door type will be used when you place a Door on your plan.
buildtoolbar_popup_help_quickBuildWall_1	The selected wall type will be used in the construction of your next Quick Build/s


buildtoolbar_popup_mat_blueclassywall			Build classy walls on top of foundations, to create new staff areas or rooms.
buildtoolbar_popup_mat_burgundyclassywall		Build classy walls on top of foundations, to create new staff areas or rooms.
buildtoolbar_popup_mat_greenclassywall			Build classy walls on top of foundations, to create new staff areas or rooms.

buildtoolbar_popup_obj_windowclassy				Makes the outside look way better than it actually is.
buildtoolbar_popup_obj_windowclassyLarge		Makes the outside look way better than it actually is.
buildtoolbar_popup_obj_gravestone				A gravestone is supplied for every death that takes place in your prison.

buildtoolbar_popup_staff_psychiatrist			An advanced staff member who provides our Criminally Insane inmates with regular consultation.\nPsychiatrists provide regular one-to-one sessions to help calm our Criminally Insane prisoners, once we have a Psychiatric Consultation program set up at the prison. \nIf we have a lot of Criminally Insane prisoners, we should hire a few Psychiatrists to support them all. Make sure each one has an office too.

buildtoolbar_popup_staff_orderly				Medical staff, specially-trained in the handling of the criminally insane.
buildtoolbar_popup_obj_leatherchair				Matches the Leather Sofa. Perfect for staff to sit on and way too nice for your prisoners surely.

buildtoolbar_popup_obj_rorschachTest		    Adding a Rorschach Test to the Psychiatrist's office will improve the Psychiatrist's treatment of criminally insane inmates
buildtoolbar_popup_obj_anatomyModel				Adding an Anatomy Model to the Psychiatrist's office will improve the Psychiatrist's treatment of criminally insane inmates.
buildtoolbar_popup_obj_flipboard				Adding a Flipboard with Brain chart to the Psychiatrist's office will improve the Psychiatrist's treatment of criminally insane inmates.
buildtoolbar_popup_obj_medicineCabinetPsych		Adding a Medicine Cabinet to the Psychiatrist's office will improve the Psychiatrist's treatment of criminally insane inmates.
buildtoolbar_popup_obj_leatherchair				Adding a classic Leather Chair to the Psychiatrist's office will improve the Psychiatrist's treatment of criminally insane inmates.
buildtoolbar_popup_obj_leatherSofa				Adding a classic Leather Sofa to the Psychiatrist's office will improve the Psychiatrist's treatment of criminally insane inmates.

buildtoolbar_deployment_insaneseczone			Only criminally insane prisoners will be permitted to enter this sector.

failuremessage_maximumcountreachedgeneric		Max Amount Placed

buildtoolbar_popup_locked_PsychiatricConsultation				Unlocked after *B more Psychiatric sessions
buildtoobar_PsychConItemImproveInfo 			- Improves a Psychiatrist's Office grade.
buildtoobar_PsychConItemImproveSuppression 		- After consultation, reduces a criminally insane inmate’s\nsuppression and certain needs by +5%
buildtoobar_PsychConItemImproveGrace 			- After consultation, provides a criminally insane inmate\nwith a ‘grace’ period of an additional 1 day,\nbefore suppression and certain needs begin to rise again.
buildtoolbar_popup_obj_Footbridge				Allows inmates and staff to cross areas of land and water. Can not be built over walls, fences and other buildings.
buildtoolbar_popup_obj_FootbridgeSteel			Allows inmates and staff to cross areas of land and water. Can not be built over walls, fences and other buildings.
buildtoolbar_popup_obj_FootbridgeB				Allows inmates and staff to cross areas of land and water. Can not be built over walls, fences and other buildings.
buildtoolbar_popup_obj_FootbridgeSteelB			Allows inmates and staff to cross areas of land and water. Can not be built over walls, fences and other buildings.

# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary                            Padded Solitary Cell

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell			    Intended for our criminally insane inmates, with padded walls that produce a calming effect.
buildtoolbar_popup_room_paddedholdingcell	    Where our new criminally insane inmates are placed before a permanent padded cell is ready.
buildtoolbar_popup_room_paddedsolitary			    An isolated form of imprisonment for the worst of our criminally insane inmates.

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell									Padded (Small)
quickbuild_paddedintermediatecell							Padded (Medium)
quickbuild_paddedholdingcell								Padded Holding Cell
quickbuild_paddedsolitarycell								Padded Solitary Cell
quickbuild_PsychiatristOffice								Psychiatrist's Office



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone                  Insane Sec Only
interfacetopbar_PrisonerCells_insaneSecOnly	Criminally Insane Capacity: *X

roomgrading_PsychiatristOffice_info				Unlock and place additional objects in the Psychiatrist Office to improve treatment to criminally insane inmates.\n
												Items are unlocked via criminally insane inmates attending Psychiatric Consultation Programs.
roomgrading_PsychiatristOffice_Item				Item : *X
roomgrading_PsychiatristOffice_Quality			Psychiatrist Ability: *Q
