
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Yeni
interface_saveconfirm                           Kaydetme işlemini bu dosya adıyla yapmak istediğinden emin misiniz? Var olan verinin üzerine yazılacak.

interface_landbuylabel                          *Xm x *Ym. Toplam alan *A metrekare. *C

interface_action_dismantle                      Boz
interface_action_dump                           Çöpe at
interface_action_repair                         Tamir et
interface_action_medicalbay                     Tıbbi Bölüm
interface_action_search                         Ara
interface_action_searchcell                     Hücreyi Ara
interface_action_searchcellblock                Hücre Bloğunu Ara
interface_action_searchtoilets                  Tuvaletleri Ara
interface_action_sack                           Sakla
interface_action_dooropen                       Kapıyı Aç
interface_action_doormodenormal                 Kapı Modu: Normal
interface_action_doormodelockedshut             Kilidi kapalı tut
interface_action_doormodelockedopen             Kilidi açık tut
interface_action_switchon                       Şalteri Aç
interface_action_switchoff                      Şalteri Kapat
interface_action_sellobject                     Nesneleri Sat
interface_action_dismiss                        Vazgeç
interface_action_connect                        Bağla
interface_action_clearconnections               Bağlantıları Kaldır
interface_action_servoopen                      Tetiği Aç
interface_action_servoclose                     Tetiği Kapat
interface_action_follow                         Takip Et
interface_action_rapsheet                       Sicili Göster

interface_contents_container                    İçerikler : *X 
interface_contents_stack                        İçerikler : *X x *Y 

interface_skip                                  GEÇ

interface_error_riotmove                        Girilemiyor: İsyan

interface_foundationsinprogress                 Altyapılar yapım aşamasında
riot_underway                                   İSYAN SÜRÜYOR
riot_status_prisoners                           *X mahkum isyane ediyor
shakedown_underway                              ARAMA SÜRÜYOR
shakedown_found                                 Bulunanlar:

gameover_caption                                Devam Etmek İçin ESC'ye Bas

sector_jobs_max                                 Maks İşler *X
sector_jobs_qualified                           Uygun Mahkumlar: *X
sector_jobs_required                            (Gerekli olan: *X)
sector_noaccess                                 ERİŞİM YOk
sector_insecure                                 GÜVENSİZ


# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title					Donanım Uyumluluk Testi
hardware_compat_message					Sizin izninizle beraber, donanımınız hakkında belirtilen verileri toplayacağız.\n\nBu bilgi tamamen anonim olarak toplanacak ve Prison Architect'in en geniş çeşitlilikte bilgisayar donanımda desteklenmesi konusunda bize yardımcı olacak.\n\nTeşekkür ederiz!
hardware_compat_accept					Kabul Et
hardware_compat_decline					Reddet

connectionmenu_connect                  Bağlan
connectionmenu_disconnect               Bağlantıyı Kes
connectionmenu_clear                    Temizle
connectionmenu_done                     Tamanlandı


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title                      İnşa et
buildtoolbar_reports                    Raporlar
buildtoolbar_bangup                     Hücreye tık
buildtoolbar_lockdown                   Tecrit et
buildtoolbar_shakedown                  Arama yap
buildtoolbar_weaponsfree                Serbest ateş
buildtoolbar_rollcall                   Yokla

buildtoolbar_tooltip_reports			Raporlar penceresini açarak mahkum, personal, gelir, hibeler ve daha fazlasına bakabilirsiniz.
buildtoolbar_tooltip_bangup				Bütün (istekli) mahkumları hücrelerine gönder. Bu mahkumlarınızı eğer onları uzun süre kilitli bırakırsanız sinirli yapacak.
buildtoolbar_tooltip_lockdown			Hapishanedeki bütün kapıları hemen kapatır.
buildtoolbar_tooltip_shakedown          Hemen bütün Hücreleri aramayı emret. Bu biraz zaman alacak ve tutukluların baya sinirini bozacak.
buildtoolbar_tooltip_weaponsfree        Silahlı korumalarınıza silahlı güç kullanmak için izin verir. Kesin Nişancılar bir hedefi vurmadan önce uyarı atışı yapmayacak.
buildtoolbar_tooltip_nostrike           Personal Saldırılarında mevcut değil.
buildtoolbar_tooltip_rollcall           Bütün makhumlarınızı dışarda dikilmek için hücrelerinden çağırır. Yalnızca geceleri ve uyku programı esnasında mevcut.

buildtoolbar_cost						Tutar: $*C
buildtoolbar_cost_sqrft					Tutar: $*C /metrekare
buildtoolbar_wages						Maaşlar : Günlük $*W 
buildtoolbar_upkeep						Masraf : Günlük $*W
buildtoolbar_outdoor					Yalnızca dışarısı
buildtoolbar_indoor						Yalnızca içerisi
buildtoolbar_walk_speed					Yürüme Hızı : *S
buildtoolbar_walk_speed_slow			Yavaş
buildtoolbar_walk_speed_norm			Normal
buildtoolbar_walk_speed_fast			Hızlı
buildtoolbar_walk_speed_Veryfast		Çok Hızlı
buildtoolbar_locked                     KİLİTLİ
buildtoolbar_locked_research			KİLİTLİ (*B gerekli)
buildtoolbar_locked_administrator		KİLİTLİ (*B gerekli)
buildtoolbar_room						Oda

buildtoolbar_electrical                 - Elektriksel
buildtoolbar_highpower                  - Yüksek Beslemeli 
buildtoolbar_water                      - Tesisat Bağlantısı Gerekli
buildtoolbar_wired                      - Kablolu (diğer kablolu nesnelere bağlanır)
buildtoolbar_modcontent                 - Mod İçeriği

buildtoolbar_popup_foundations			Hapishaneni şekillendirmek için binaları Yık/Kur.
buildtoolbar_popup_construction			Farklı çeşit zeminler ve duvarlar.
buildtoolbar_popup_designation			Hapishanenizdeki bölümleri belli bir amaç için ata. Sağ-tıkla ve basılı tutarken bırak ve odaları kaldır.
buildtoolbar_popup_objects				Hapishanenizin etrafına işe yarar eşyalar koyun.
buildtoolbar_popup_overlays				Hapishanenizin tasarımda bulunan hataları görsel olarak tanımla.
buildtoolbar_popup_utilities			Tesisat ve elektrik sistemleri.
buildtoolbar_popup_staff				Hapishanenizini yürütmek için gerekli kişileri işe al.
buildtoolbar_popup_deployment			Personelinizi hapishanenizin bölgelerine ata.
buildtoolbar_popup_logistics            Hapishanenizin etrafında çalışmak için mahkum ata. Ayrıca kantin ve çamaşırhane atamalarını kontrol edin.
buildtoolbar_popup_research				Mahkumlarınız için yeni imkanların kilidini aç.
buildtoolbar_popup_emergencies			Eğer işler kötüye giderse acil servisi ara.
buildtoolbar_popup_clone				Mevcut yapılarınızı kopyala ve yapıştır.
buildtoolbar_popup_properties			Siktiğimin konuları hakkında bilgi edin.
buildtoolbar_popup_contraband           Kaçak eşyaları ve yeni ele geçirilmiş olanlarını göster. Ayrıca Köstebeklerinizi ve edindikleri bilgileri göster.
buildtoolbar_popup_grading              Dört ana ölçümle hapishanenizin genel kalitesini göster - Ceza, Reform, Güvenlik, ve Sağlık. Ayrıca hapishanenizin yeniden suç işleme oranını gösterir.
buildtoolbar_popup_prefabs              Önceden belirlenmiş odaları veya hapishanenizin mevcut parçalarını kopyala veya yapıştır.
buildtoolbar_popup_room_cell			Mahkumlarınızın yaşadığı yer.
buildtoolbar_popup_room_holdingcell		Yeni yetmelerin onlara hücre bulunana kadar yerleştirildiği yer.
buildtoolbar_popup_room_solitary		En kötünün de kötüsü izole bir formdaki hapis cezası.
buildtoolbar_popup_room_dormitory       Birden fazla mahkumu ağırlamak için değişken-boyutlu bir yerleşim. Ne kadar büyük koğuş, o kadar fazla mahkum için ev.
buildtoolbar_popup_room_familycell      Mahkumlarınızın bebek sahibi olmaları durumda yaşayacağı yer. 
buildtoolbar_popup_room_sharedcell      Birden fazla makhum için birden fazla-yerleşimli bir hücre. 8 mahkuma kadar ağırlayabiliyor.
buildtoolbar_popup_room_canteen			Mahkumlarınızın öğleden sonra çay içtiği yer.
buildtoolbar_popup_room_kitchen			Mahkumlarınıza yemek hazırlayan aşçılar için bulunan bölge.
buildtoolbar_popup_room_shower			Makhumlarınızı bitlerden uzak ve tertemiz tutmak için kullanılır.
buildtoolbar_popup_room_yard			Keskin nişancıların kartal gözetiminde mahkumlarınızın günde birkaç saat güneşlenmesine izin verir.
buildtoolbar_popup_room_storage			Personalinizin bütün ihtiyaçları için ayarlanmış alan.
buildtoolbar_popup_room_deliveries		Mal, materyal ve mahkumlarınızın bırakıldığı yer.
buildtoolbar_popup_room_garbage			Çöplerinizin toplandığı yer.
buildtoolbar_popup_room_execution		Mahkumlarınızı ölüme gönderdiğiniz yer.
buildtoolbar_popup_room_workshop		Mahkumlarınızı sıkılmaktan ölüme gönderip o esnada size araba plakaları ürettirdiğiniz yer.
buildtoolbar_popup_room_security		Memurlarınız için Ofisler.
buildtoolbar_popup_room_office			Yönetim personalinizin çalışması için bölge.
buildtoolbar_popup_room_medicalward		Tıppı personalinizin çalışması için bölge.
buildtoolbar_popup_room_morgue			Ölü personal ve mahkumları yolladığınız yer.
buildtoolbar_popup_room_commonroom		Mahkumlarınızın kafasını rahatlatmak için serbest zaman.
buildtoolbar_popup_room_kennel          Köpeklerinizin yaşadığı yer.
buildtoolbar_popup_room_chapel          Bürökratik bir komisyon bir araya gelerek tutukluların dini ihtiyaçları için bir çözüm tasarlarlarsa ne olur? Bir, 'Çok Dinli İbadet Odası', işte. Biz ona Şapel diyoruz.
buildtoolbar_popup_room_paroleroom      Mahkumlarınız hükümlerinin %50 ve %75 kadarını çektikten sonra şartlı tahliyeye uygun olacak. Müdür ve Amirle birlikte kaderleri bu odada belirlenecek.\n\nLütfen ekstra güvenliğe ihtiyaç olduğunu not edin. Mahkumların şartlı tahliyeleri reddedilince oldukça mutsuz oldukları biliniyor.
buildtoolbar_popup_room_library         Your prison will be sent boxes of discarded and used books from around the country. Prisoners will need to sort those books onto the shelves.
buildtoolbar_popup_room_intake          Where your prisoners are first taken when they arrive.
buildtoolbar_popup_room_nursery         Activity room for prisoners with babies. 
buildtoolbar_popup_room_shop            Shops give your prisoners a place to spend their hard-earned money in order to satisfy their need for luxuries. Can also help with hygiene, food and recreation. You'll receive money for each sale plus a commission each day for the total goods sold.

buildtoolbar_popup_obj_bed				Not too soft, not too hard, just right. Well, actually, really hard and too small.
buildtoolbar_popup_obj_toilet			A basic human right, if you believe all those crackpots.
buildtoolbar_popup_obj_table			Goes excellently with a chair.
buildtoolbar_popup_obj_chair			Goes brilliantly with a table.
buildtoolbar_popup_obj_bench			For sitting on.
buildtoolbar_popup_obj_electricchair	To deliver 2000V of justice.
buildtoolbar_popup_obj_jaildoor			Keep your prisoners where they should be.
buildtoolbar_popup_obj_jaildoorlarge	Keep lots of your prisoners where they should be.
buildtoolbar_popup_obj_door				A simple door.
buildtoolbar_popup_obj_solitarydoor		A heavyset door to stop even the strongest of prisoners from escaping.
buildtoolbar_popup_obj_staffdoor		A locked door that can be opened by any member of staff, not just Guards.
buildtoolbar_popup_obj_window			To glimpse the sun through.
buildtoolbar_popup_obj_windowlarge		To glimpse lots of the sun through.
buildtoolbar_popup_obj_tree				Taking steps against global warming is all of our responsibility.
buildtoolbar_popup_obj_light			Ensure you can see your prisoners at all times of the day.
buildtoolbar_popup_obj_cooker			Give your prisoners the life of luxury with hot food.
buildtoolbar_popup_obj_fridge			Keep your food supplies from rotting.
buildtoolbar_popup_obj_bin				Tidiness is important when it comes to contraband.
buildtoolbar_popup_obj_sink				All employees are required to wash their hands. Will work faster if connected to hot water.
buildtoolbar_popup_obj_servingtable		Dish up food to your prisoners.
buildtoolbar_popup_obj_showerhead		The head of a shower. For showering. Showering with hot water makes your prisoners happier.
buildtoolbar_popup_obj_bookshelf		A shelf that holds books. 
buildtoolbar_popup_obj_officedesk		Your staff need to write things down a lot. Give them a shiny office desk to do it on.
buildtoolbar_popup_obj_filingcabinet	Your staff need to keep the things they write ordered nicely.
buildtoolbar_popup_obj_medicalbed		A place to hold the narcotics until your prisoners steal them.
buildtoolbar_popup_obj_morgueslab		Ensure the dead have a respectful place to rest before moving.
buildtoolbar_popup_obj_drain			Remove water from the floor.
buildtoolbar_popup_obj_sprinkler		Automatically sprays the area with water in the event of a fire.
buildtoolbar_popup_obj_metaldetector	Find contraband on your prisoners that pass through these. Will require a guard to be nearby to take the contraband.
buildtoolbar_popup_obj_weightsbench		Allow your prisoners to exercise, which keeps them happy.
buildtoolbar_popup_obj_phonebooth		Prisoners might want to talk to their family, and these handy phonebooths let them.
buildtoolbar_popup_obj_tv				Pacify your prisoners with mind-numbing mediocrity. Requires a place for prisoners to sit in front of the TV.
buildtoolbar_popup_obj_largetv			Allow lots of your prisoners to share the experience of brain rot. Requires a place for prisoners to sit in front of the TV.
buildtoolbar_popup_obj_radio            Lets your prisoners listen to their favourite boy bands as they go about their day. Makes all prisoners in the same room slightly happier. 
buildtoolbar_popup_obj_pooltable		Remove the monotony of prison life with a game of pool. 
buildtoolbar_popup_obj_dismantleobject	Remove an object from your prison.
buildtoolbar_popup_obj_altar            Relays your prayers directly to your higher power of choice.
buildtoolbar_popup_obj_pews             Seats for the faithful. Made from the hardest, most unpadded of woods.
buildtoolbar_popup_obj_prayermat        Protect your prisoners from the dirty floor while they offer their prayers. 
buildtoolbar_popup_obj_guardtower       A tower from which your snipers (hired separately) can watch over your prison.
buildtoolbar_popup_obj_roadbarrier      A sturdy road barricade that can stop even speeding trucks. Only closes during Lockdown.

buildtoolbar_popup_staff_workman		Will build your prison for you, based on the plans you provide them.
buildtoolbar_popup_staff_guard			Used to keep your prisoners in check and out of trouble.
